"region","year","contents","07459: Population, by region, year and contents"
"K-3001 Halden","1986","Persons",25844
"K-3001 Halden","1987","Persons",25807
"K-3001 Halden","1988","Persons",25848
"K-3001 Halden","1989","Persons",25841
"K-3001 Halden","1990","Persons",25816
"K-3001 Halden","1991","Persons",25852
"K-3001 Halden","1992","Persons",25831
"K-3001 Halden","1993","Persons",25896
"K-3001 Halden","1994","Persons",25908
"K-3001 Halden","1995","Persons",25953
"K-3001 Halden","1996","Persons",26021
"K-3001 Halden","1997","Persons",26162
"K-3001 Halden","1998","Persons",26417
"K-3001 Halden","1999","Persons",26523
"K-3001 Halden","2000","Persons",26733
"K-3001 Halden","2001","Persons",27133
"K-3001 Halden","2002","Persons",27204
"K-3001 Halden","2003","Persons",27438
"K-3001 Halden","2004","Persons",27464
"K-3001 Halden","2005","Persons",27582
"K-3001 Halden","2006","Persons",27722
"K-3001 Halden","2007","Persons",27835
"K-3001 Halden","2008","Persons",28092
"K-3001 Halden","2009","Persons",28389
"K-3001 Halden","2010","Persons",28776
"K-3001 Halden","2011","Persons",29220
"K-3001 Halden","2012","Persons",29543
"K-3001 Halden","2013","Persons",29880
"K-3001 Halden","2014","Persons",30132
"K-3001 Halden","2015","Persons",30328
"K-3001 Halden","2016","Persons",30544
"K-3001 Halden","2017","Persons",30790
"K-3001 Halden","2018","Persons",31037
"K-3001 Halden","2019","Persons",31177
"K-3001 Halden","2020","Persons",31373
"K-3002 Moss","1986","Persons",36154
"K-3002 Moss","1987","Persons",36260
"K-3002 Moss","1988","Persons",36631
"K-3002 Moss","1989","Persons",36797
"K-3002 Moss","1990","Persons",36648
"K-3002 Moss","1991","Persons",36786
"K-3002 Moss","1992","Persons",36902
"K-3002 Moss","1993","Persons",37155
"K-3002 Moss","1994","Persons",37260
"K-3002 Moss","1995","Persons",37542
"K-3002 Moss","1996","Persons",37851
"K-3002 Moss","1997","Persons",38132
"K-3002 Moss","1998","Persons",38747
"K-3002 Moss","1999","Persons",39352
"K-3002 Moss","2000","Persons",39921
"K-3002 Moss","2001","Persons",40608
"K-3002 Moss","2002","Persons",40877
"K-3002 Moss","2003","Persons",41309
"K-3002 Moss","2004","Persons",41485
"K-3002 Moss","2005","Persons",41752
"K-3002 Moss","2006","Persons",42044
"K-3002 Moss","2007","Persons",42472
"K-3002 Moss","2008","Persons",42987
"K-3002 Moss","2009","Persons",43693
